"RecordID","CowKey","EarTemperature_C","CoreReferenceTemperature_C","AmbientTemperature_C","MeasurementTime_hour"
"MEAS_R000463","C018","34.0","38.8","6.3","15.0"
"MEAS_R000464","C018","33.0","38.8","8.8","15.0"
"MEAS_R000465","C019","36.8","39.4","31.3","21.0"
"MEAS_R000466","C019","35.4","39.5","30.8","22.0"
"MEAS_R000467","C019","37.4","39.5","32.5","23.0"
"MEAS_R000468","C019","34.4","39.5","29.0","20.0"
"MEAS_R000469","C020","38.4","40.2","32.0","21.0"
"MEAS_R000470","C020","32.8","39.6","33.3","2.0"
"MEAS_R000471","C021","30.7","38.3","9.4","1.0"
"MEAS_R000472","C021","30.0","38.3","7.7","21.0"
"MEAS_R000473","C021","27.2","38.3","10.1","1.0"
"MEAS_R000474","C021","31.1","38.2","12.3","12.0"
"MEAS_R000475","C021","31.6","38.2","12.8","13.0"
"MEAS_R000476","C021","32.9","38.3","15.1","11.0"
"MEAS_R000477","C021","31.8","38.2","23.2","12.0"
"MEAS_R000478","C021","32.0","38.2","18.8","13.0"
"MEAS_R000479","C022","32.5","38.4","8.6","21.0"
"MEAS_R000480","C022","30.7","38.4","2.3","21.0"
"MEAS_R000481","C022","25.5","38.4","4.6","22.0"
"MEAS_R000482","C023","33.8","38.9","12.0","17.0"
"MEAS_R000483","C023","36.7","38.9","8.3","13.0"
"MEAS_R000484","C023","31.6","39.1","9.8","20.0"
"MEAS_R000485","C024","38.4","39.0","35.9","21.0"
"MEAS_R000486","C025","27.5","39.4","12.6","10.0"
"MEAS_R000487","C025","29.8","39.4","14.5","15.0"
"MEAS_R000488","C025","31.5","39.4","15.8","12.0"
"MEAS_R000489","C025","30.9","39.4","22.3","11.0"
"MEAS_R000490","C025","31.6","39.3","20.5","18.0"
"MEAS_R000491","C025","30.9","39.5","10.9","19.0"
"MEAS_R000492","C025","31.1","39.5","11.3","19.0"
"MEAS_R000493","C025","31.4","39.4","11.4","1.0"
"MEAS_R000494","C026","32.1","38.6","3.1","1.0"
"MEAS_R000495","C026","27.8","38.7","8.6","22.0"
"MEAS_R000496","C026","35.0","38.7","10.4","10.0"
"MEAS_R000497","C026","32.5","38.7","14.4","16.0"
"MEAS_R000498","C026","31.4","38.7","8.2","17.0"
"MEAS_R000499","C026","29.3","38.7","6.8","22.0"
"MEAS_R000500","C026","31.5","38.6","6.2","0.0"
"MEAS_R000501","C026","31.2","38.6","8.7","1.0"
"MEAS_R000502","C026","28.1","38.7","7.8","3.0"
"MEAS_R000503","C026","34.4","38.6","9.6","14.0"
"MEAS_R000504","C027","31.6","39.0","8.7","2.0"
"MEAS_R000505","C027","30.9","39.0","3.8","1.0"
"MEAS_R000506","C027","30.1","38.6","7.7","12.0"
"MEAS_R000507","C027","32.3","39.8","3.4","10.0"
"MEAS_R000508","C027","30.5","38.8","6.1","13.0"
"MEAS_R000509","C028","33.4","40.3","28.7","3.0"
"MEAS_R000510","C028","36.6","40.2","37.5","11.0"
"MEAS_R000511","C028","35.9","40.2","37.5","16.0"
"MEAS_R000512","C028","37.5","40.2","38.4","17.0"
"MEAS_R000513","C029","34.2","38.3","5.2","14.0"
"MEAS_R000514","C029","34.6","38.4","10.9","16.0"
"MEAS_R000515","C029","36.8","38.3","6.4","11.0"
"MEAS_R000516","C029","35.0","38.3","6.4","13.0"
"MEAS_R000517","C029","36.1","38.3","8.8","14.0"
"MEAS_R000518","C030","30.0","40.3","6.5","9.0"
"MEAS_R000519","C030","30.6","40.2","5.6","13.0"
"MEAS_R000520","C030","32.3","40.3","8.3","10.0"
